Date,Currency,Rate,Daily ROC (%),7-Day MA,30-Day MA,Volatility,Performance (%),Latest Rate,Latest Daily ROC (%)
2025-07-23,USD,1,,1.0,1.0,0.0,0.0,1,0.0
2025-07-23,EUR,0.84897,,0.84897,0.84897,0.001209,0.2014,0.85068,0.2014
2025-07-23,JPY,146.353886,,146.353886,146.353886,0.492012,0.4754,147.049696,0.4754
2025-07-23,GBP,0.73637,,0.73637,0.73637,0.002821,0.5418,0.74036,0.5418
2025-07-23,AUD,1.51486,,1.51486,1.51486,0.001117,0.1043,1.51644,0.1043
2025-07-23,CAD,1.3598,,1.3598,1.3598,0.003253,0.3383,1.3644,0.3383
2025-07-23,CHF,0.79212,,0.79212,0.79212,0.002058,0.3674,0.79503,0.3674
2025-07-23,CNY,7.160091,,7.160091,7.160091,0.004773,-0.0943,7.153341,-0.0943
2025-07-23,SEK,9.500302,,9.500302,9.500302,0.017663,0.2629,9.525281,0.2629
2025-07-23,NZD,1.65338,,1.65338,1.65338,0.00222,0.1899,1.65652,0.1899
2025-07-23,MXN,18.536763,,18.536763,18.536763,0.002304,0.0176,18.540022,0.0176
2025-07-23,SGD,1.2761,,1.2761,1.2761,0.000658,-0.0729,1.27517,-0.0729
2025-07-23,HKD,7.846551,,7.846551,7.846551,0.001555,0.028,7.848751,0.028
2025-07-23,NOK,10.097271,,10.097271,10.097271,0.016031,0.2245,10.119942,0.2245
2025-07-23,KRW,1373.804564,,1373.804564,1373.804564,1.569262,-0.1615,1371.585292,-0.1615
2025-07-24,USD,1,0.0,1.0,1.0,0.0,0.0,1,0.0
2025-07-24,EUR,0.85068,0.2014,0.849825,0.849825,0.001209,0.2014,0.85068,0.2014
2025-07-24,JPY,147.049696,0.4754,146.701791,146.701791,0.492012,0.4754,147.049696,0.4754
2025-07-24,GBP,0.74036,0.5418,0.738365,0.738365,0.002821,0.5418,0.74036,0.5418
2025-07-24,AUD,1.51644,0.1043,1.51565,1.51565,0.001117,0.1043,1.51644,0.1043
2025-07-24,CAD,1.3644,0.3383,1.3621,1.3621,0.003253,0.3383,1.3644,0.3383
2025-07-24,CHF,0.79503,0.3674,0.793575,0.793575,0.002058,0.3674,0.79503,0.3674
2025-07-24,CNY,7.153341,-0.0943,7.156716,7.156716,0.004773,-0.0943,7.153341,-0.0943
2025-07-24,SEK,9.525281,0.2629,9.512792,9.512792,0.017663,0.2629,9.525281,0.2629
2025-07-24,NZD,1.65652,0.1899,1.65495,1.65495,0.00222,0.1899,1.65652,0.1899
2025-07-24,MXN,18.540022,0.0176,18.538393,18.538393,0.002304,0.0176,18.540022,0.0176
2025-07-24,SGD,1.27517,-0.0729,1.275635,1.275635,0.000658,-0.0729,1.27517,-0.0729
2025-07-24,HKD,7.848751,0.028,7.847651,7.847651,0.001555,0.028,7.848751,0.028
2025-07-24,NOK,10.119942,0.2245,10.108607,10.108607,0.016031,0.2245,10.119942,0.2245
2025-07-24,KRW,1371.585292,-0.1615,1372.694928,1372.694928,1.569262,-0.1615,1371.585292,-0.1615
